BaseId,x,z,DistFromCtr,Theta,ChannelStart,PathId,NearestTheta5,DistFromCenterOnTheta5,DistFromTheta5
152,-168.499,757.8293,776.3358,347.4645,463,Path2,345,775.6177,33.38308
153,-273.8017,726.4499,776.3355,339.3484,442,Path2,340,776.2854,-8.828963
154,-373.6195,680.5187,776.3358,331.2323,421,Path2,330,776.1563,16.69542
155,-465.9529,620.9549,776.3356,323.1161,400,Path2,325,775.916,-25.52115
156,-548.9522,548.952,776.3355,315,379,Path2,315,776.3354,-0.0001930101
157,-620.9551,465.9526,776.3356,306.8839,358,Path2,305,775.916,25.52085
158,-680.5187,373.6192,776.3356,298.7677,337,Path2,300,776.156,-16.69572
159,-726.4502,273.8012,776.3356,290.6516,316,Path2,290,776.2855,8.828335
160,-757.8294,168.4986,776.3358,282.5355,295,Path2,285,775.6177,-33.38363
161,-774.0275,59.82051,776.3358,274.4193,274,Path2,275,776.2958,-7.868174
162,-774.0275,-59.82102,776.3356,265.5807,1,Path7,265,776.2958,7.867602
163,-757.8293,-168.4991,776.3358,257.4645,22,Path7,255,775.6177,33.38308
164,-726.4499,-273.8017,776.3355,249.3484,43,Path7,250,776.2854,-8.828935
165,-680.5184,-373.6195,776.3355,241.2322,64,Path7,240,776.156,16.69519
166,-620.9548,-465.953,776.3356,233.1161,85,Path7,235,775.9161,-25.52133
167,-548.9519,-548.9524,776.3356,225,106,Path7,225,776.3356,-0.0004315837
168,-465.9525,-620.9552,776.3356,216.8838,127,Path7,215,775.916,25.52077
169,-373.6192,-680.5187,776.3356,208.7677,148,Path7,210,776.1561,-16.69558
170,-273.8015,-726.4502,776.3358,200.6516,169,Path7,200,776.2855,8.828692
171,-168.499,-757.8293,776.3356,192.5355,190,Path7,195,775.6176,-33.3831
172,-59.82113,-774.0275,776.3356,184.4193,211,Path7,185,776.2958,-7.86742
173,59.8204,-774.0275,776.3358,175.5807,169,Path16,175,776.2958,7.868173
174,168.4983,-757.8294,776.3358,167.4646,148,Path16,165,775.6176,33.38379
175,273.8008,-726.4502,776.3354,159.3484,127,Path16,160,776.2852,-8.827973
176,373.6185,-680.519,776.3356,151.2323,106,Path16,150,776.156,16.69629
177,465.9519,-620.9556,776.3356,143.1162,85,Path16,145,775.916,-25.52007
178,548.9513,-548.953,776.3356,135.0001,64,Path16,135,776.3356,0.001079822
179,620.9541,-465.9539,776.3356,126.884,43,Path16,125,775.916,25.52227
180,680.518,-373.6206,776.3358,118.7678,22,Path16,120,776.1562,-16.69421
181,726.4496,-273.8031,776.3358,110.6517,1,Path16,110,776.2854,8.830136
182,757.8289,-168.5007,776.3356,102.5356,484,Path15,105,775.6176,-33.38159
183,774.0274,-59.82285,776.3358,94.41946,463,Path15,95,776.296,-7.865949
184,876.7634,59.83384,878.8027,86.09595,463,Path10,85,878.6418,16.8088
185,863.3702,163.9685,878.8026,79.24664,484,Path10,80,878.7265,-11.5548
